station,season,scenario,obs_baseline,bc_hist_baseline,future_bc,change_pct,change_pct_p25,change_pct_p75,n_models
500001,Annual,ssp245,983.16,1004.64,979.36,-2.51,-9.18,2.84,7
500001,Dry,ssp245,148.47,158.65,167.33,5.71,2.62,6.94,7
500001,Wet,ssp245,833.04,843.25,813.01,-3.58,-9.92,3.04,7
500002,Annual,ssp245,1376.14,1392.34,1411.32,1.37,-3.72,6.46,7
500002,Dry,ssp245,241.57,251.0,267.49,6.58,3.5,11.06,7
500002,Wet,ssp245,1131.85,1140.52,1144.73,0.38,-3.93,4.77,7
500003,Annual,ssp245,1099.85,1121.24,1112.83,-0.74,-6.96,6.21,7
500003,Dry,ssp245,200.14,207.83,218.91,5.56,-0.5,9.1,7
500003,Wet,ssp245,899.61,910.93,895.11,-1.71,-7.75,7.44,7
500004,Annual,ssp245,1106.0,1124.98,1140.33,1.37,-4.34,6.7,7
500004,Dry,ssp245,214.06,222.83,236.09,6.11,2.9,9.41,7
500004,Wet,ssp245,891.47,899.94,905.37,0.61,-5.02,7.37,7
500005,Annual,ssp245,1147.06,1156.31,1173.81,1.52,-5.21,6.43,7
500005,Dry,ssp245,233.73,240.79,259.62,7.85,3.32,13.69,7
500005,Wet,ssp245,909.6,913.8,915.48,0.19,-5.94,6.86,7
500006,Annual,ssp245,1202.89,1212.59,1229.98,1.44,-5.43,6.77,7
500006,Dry,ssp245,266.99,273.86,295.1,7.79,4.07,13.95,7
500006,Wet,ssp245,932.89,936.75,936.26,-0.05,-6.59,7.04,7
500007,Annual,ssp245,1133.13,1143.26,1167.23,2.1,-3.2,5.94,7
500007,Dry,ssp245,286.75,289.81,311.12,7.37,1.31,15.19,7
500007,Wet,ssp245,847.62,851.3,857.83,0.77,-4.63,6.22,7
500008,Annual,ssp245,1206.12,1213.13,1201.07,-0.99,-5.83,1.25,7
500008,Dry,ssp245,223.01,225.98,240.74,6.51,3.54,14.97,7
500008,Wet,ssp245,982.59,986.3,961.37,-2.52,-7.37,0.31,7
500009,Annual,ssp245,1176.26,1183.34,1165.2,-1.52,-5.45,4.05,7
500009,Dry,ssp245,211.71,215.3,228.62,6.16,2.36,14.56,7
500009,Wet,ssp245,963.73,967.08,937.46,-3.05,-6.38,3.88,7
500201,Annual,ssp245,1107.68,1131.48,1164.85,2.95,-1.95,6.39,7
500201,Dry,ssp245,351.41,363.5,394.29,8.7,-0.86,19.47,7
500201,Wet,ssp245,753.45,762.2,773.5,1.49,-2.79,6.73,7
500202,Annual,ssp245,943.91,969.03,969.66,0.07,-3.76,3.08,7
500202,Dry,ssp245,231.91,240.93,260.55,8.36,0.64,15.85,7
500202,Wet,ssp245,712.84,722.78,711.27,-1.59,-6.63,2.94,7
500301,Annual,ssp245,1064.84,1088.13,1097.48,0.86,-3.86,3.22,7
500301,Dry,ssp245,222.74,233.02,252.3,8.39,3.55,14.43,7
500301,Wet,ssp245,841.4,851.47,847.24,-0.49,-5.72,2.96,7
500001,Annual,ssp585,983.16,1004.64,916.61,-8.76,-19.74,2.29,7
500001,Dry,ssp585,148.47,158.65,160.88,1.74,-10.3,10.05,7
500001,Wet,ssp585,833.04,843.25,755.37,-10.42,-19.13,0.66,7
500002,Annual,ssp585,1376.14,1392.34,1341.67,-3.64,-12.01,2.17,7
500002,Dry,ssp585,241.57,251.0,251.83,0.29,-18.94,15.73,7
500002,Wet,ssp585,1131.85,1140.52,1088.97,-4.51,-13.01,3.63,7
500003,Annual,ssp585,1099.85,1121.24,1063.4,-5.15,-14.59,5.55,7
500003,Dry,ssp585,200.14,207.83,214.52,3.43,-17.36,25.24,7
500003,Wet,ssp585,899.61,910.93,847.72,-6.92,-14.22,3.24,7
500004,Annual,ssp585,1106.0,1124.98,1082.74,-3.75,-12.24,5.5,7
500004,Dry,ssp585,214.06,222.83,230.66,3.69,-18.65,21.37,7
500004,Wet,ssp585,891.47,899.94,851.24,-5.4,-14.49,3.51,7
500005,Annual,ssp585,1147.06,1156.31,1112.17,-3.82,-12.21,4.78,7
500005,Dry,ssp585,233.73,240.79,249.67,3.7,-14.23,19.71,7
500005,Wet,ssp585,909.6,913.8,861.81,-5.68,-14.67,3.68,7
500006,Annual,ssp585,1202.89,1212.59,1165.85,-3.85,-12.11,4.83,7
500006,Dry,ssp585,266.99,273.86,283.85,3.67,-13.83,19.83,7
500006,Wet,ssp585,932.89,936.75,881.23,-5.92,-14.94,3.41,7
500007,Annual,ssp585,1133.13,1143.26,1096.69,-4.07,-12.77,5.1,7
500007,Dry,ssp585,286.75,289.81,293.63,1.32,-13.11,15.68,7
500007,Wet,ssp585,847.62,851.3,802.17,-5.77,-13.95,3.02,7
500008,Annual,ssp585,1206.12,1213.13,1123.9,-7.35,-16.1,0.53,7
500008,Dry,ssp585,223.01,225.98,229.05,1.34,-8.22,10.9,7
500008,Wet,ssp585,982.59,986.3,894.88,-9.27,-16.3,-2.29,7
500009,Annual,ssp585,1176.26,1183.34,1095.09,-7.45,-14.34,0.55,7
500009,Dry,ssp585,211.71,215.3,212.26,-1.42,-16.69,11.77,7
500009,Wet,ssp585,963.73,967.08,882.7,-8.72,-15.03,1.15,7
500201,Annual,ssp585,1107.68,1131.48,1112.2,-1.7,-9.31,7.16,7
500201,Dry,ssp585,351.41,363.5,379.25,4.54,-13.17,22.49,7
500201,Wet,ssp585,753.45,762.2,730.92,-4.1,-11.62,2.79,7
500202,Annual,ssp585,943.91,969.03,919.76,-5.08,-13.28,4.67,7
500202,Dry,ssp585,231.91,240.93,248.09,3.17,-7.25,13.22,7
500202,Wet,ssp585,712.84,722.78,670.98,-7.17,-15.15,1.22,7
500301,Annual,ssp585,1064.84,1088.13,1033.61,-5.01,-15.2,5.98,7
500301,Dry,ssp585,222.74,233.02,244.02,4.79,-10.54,20.22,7
500301,Wet,ssp585,841.4,851.47,789.27,-7.31,-15.66,1.48,7
